objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237649954404434020,21.8453881398636,14.6065903897061,19.17285,18.98896,18.81255,18.67003,18.50723,1043,301,4,142,478617168536168448,QSO,0.844348,425,51898,399
1237649954404434068,21.7897138804461,14.7762794937744,15.69154,14.37136,13.80107,13.54009,13.35396,1043,301,4,142,477544045103572992,GALAXY,0.02144653,424,51893,591
1237649929705750604,54.8448347119136,-5.58801796185166,18.42185,16.3492,15.41906,14.96273,14.62461,1037,301,6,102,520278214052964352,GALAXY,0.043225,462,51909,409
1237649929702146217,46.5436446303831,-6.46075762914143,19.3664,19.28974,19.11652,19.22947,19.14029,1037,301,6,47,515818595226249216,QSO,1.014599,458,51929,569
1237649929700638800,43.0466177830803,-6.84400355018475,19.51238,19.58115,19.17017,19.12272,18.9637,1037,301,6,24,514637169512441856,QSO,1.347528,457,51901,367
1237649928632795300,56.6778131284479,-6.02612451324303,19.14147,18.17709,17.83234,17.7118,17.66582,1037,301,4,114,2308270787947161600,STAR,0.0001947316,2050,53401,640
1237649928632139880,55.119881715049,-6.23811382394868,19.31339,18.15288,17.68933,17.53699,17.4596,1037,301,4,104,520301853552961536,STAR,-0.0001707709,462,51909,495
1237649928090026133,43.2416811077829,-8.09097041659228,19.51444,18.31828,17.85809,17.70012,17.62278,1037,301,3,24,514590990024075264,STAR,9.466058E-05,457,51901,199
1237649954403778762,20.1690434007083,14.7992688123263,19.54163,18.11037,17.45925,17.1061,16.99675,1043,301,4,132,477499240004741120,GALAXY,0.05408853,424,51893,428
1237649954403844196,20.4721766946834,14.8957092116113,17.52329,15.74762,14.94362,14.57211,14.28181,1043,301,4,133,477512983900088320,GALAXY,0.03624415,424,51893,478
1237649954403844218,20.3267374675656,14.9084869210188,19.0112,17.8254,17.20933,16.7907,16.54024,1043,301,4,133,476427214959699968,GALAXY,0.05476107,423,51821,624
1237649954403844254,20.3712471734883,14.8793506004885,18.80742,16.88913,16.02566,15.61133,15.28469,1043,301,4,133,477508585853577216,GALAXY,0.0544831,424,51893,462
1237649954403909651,20.4834914140552,14.8066461307886,18.36747,17.20548,17.10192,16.99129,16.86726,1043,301,4,134,5784879316727734272,QSO,2.872293,5138,55830,20
1237649954403975277,20.7270691749456,14.8505843362878,18.67307,18.69063,18.37284,18.33934,18.44495,1043,301,4,135,477523979016366080,QSO,1.22807,424,51893,518
1237649954405941250,25.2428249748857,14.3578172353767,17.8296,15.61458,14.73036,14.44932,14.2804,1043,301,4,165,2137055109782202368,STAR,-7.577518E-05,1898,53260,353
1237649954405941333,25.3034494402334,14.4564542823219,19.49912,17.31343,16.35541,16.0006,15.83192,1043,301,4,165,2137054010270574592,STAR,0.0001248819,1898,53260,349
1237649954405941393,25.362358869695,14.3492842992284,19.24864,17.9599,17.43882,17.1376,16.91281,1043,301,4,165,479797494000150528,GALAXY,0.07216766,426,51882,597
1237649954404237484,21.3714001554296,14.7853589962491,19.1855,18.55105,18.45699,18.57999,18.34154,1043,301,4,139,477544869737293824,QSO,0.7997015,424,51893,594
1237649954405744735,24.8887552630651,14.4225740599085,17.5955,16.68143,16.3289,16.18846,16.14758,1043,301,4,162,5248072447656173568,STAR,0.0004829549,4661,55614,920
1237649954405744766,24.9212849222624,14.4919217233914,19.05001,18.09603,17.75817,17.62632,17.60498,1043,301,4,162,5248071073266638848,STAR,-0.0008837465,4661,55614,915
1237648705133543754,228.171999698019,0.5610932130478,19.43566,17.51004,16.51138,16.06897,15.69386,752,301,5,565,350306081810966528,GALAXY,0.09167954,311,51665,550
